Site Name,Measure Names,Date Time,Measure Values
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:45:00 PM,0.995
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:30:00 PM,0.93
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:15:00 PM,0.97
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:00:00 PM,1.135
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:45:00 PM,0.945
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:30:00 PM,1
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:15:00 PM,1.005
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:00:00 PM,0.96
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:45:00 PM,1.025
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:30:00 PM,1.09
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:15:00 PM,1.1
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:00:00 PM,1.08
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:45:00 PM,1.065
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:30:00 PM,1.04
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:15:00 PM,0.955
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:00:00 PM,0.98
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:45:00 PM,0.95
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:30:00 PM,0.92
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:15:00 PM,0.89
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:00:00 PM,0.84
Confluence,"fChl, water, in situ, ug/l",7/23/2024 11:45:00 AM,0.89
Confluence,"fChl, water, in situ, ug/l",7/23/2024 11:30:00 AM,0.95
Confluence,"fChl, water, in situ, ug/l",7/23/2024 11:15:00 AM,0.905
Confluence,"fChl, water, in situ, ug/l",7/23/2024 11:00:00 AM,0.925
Confluence,"fChl, water, in situ, ug/l",7/23/2024 10:45:00 AM,0.82
Confluence,"fChl, water, in situ, ug/l",7/23/2024 10:30:00 AM,0.915
Confluence,"fChl, water, in situ, ug/l",7/23/2024 10:15:00 AM,0.93
Confluence,"fChl, water, in situ, ug/l",7/23/2024 10:00:00 AM,0.9
Confluence,"fChl, water, in situ, ug/l",7/23/2024 9:45:00 AM,0.89
Confluence,"fChl, water, in situ, ug/l",7/23/2024 9:30:00 AM,0.94
Confluence,"fChl, water, in situ, ug/l",7/23/2024 9:15:00 AM,0.94
Confluence,"fChl, water, in situ, ug/l",7/23/2024 9:00:00 AM,1.06
Confluence,"fChl, water, in situ, ug/l",7/23/2024 8:45:00 AM,0.96
Confluence,"fChl, water, in situ, ug/l",7/23/2024 8:30:00 AM,0.97
Confluence,"fChl, water, in situ, ug/l",7/23/2024 8:15:00 AM,0.975
Confluence,"fChl, water, in situ, ug/l",7/23/2024 8:00:00 AM,0.875
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:45:00 AM,0.96
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:30:00 AM,0.985
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:15:00 AM,1.09
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:00:00 AM,0.925
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:45:00 AM,0.93
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:30:00 AM,1.12
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:15:00 AM,1.18
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:00:00 AM,1.25
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:45:00 AM,1.2
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:30:00 AM,1.2
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:15:00 AM,1.195
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:00:00 AM,1.08
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:45:00 AM,1.09
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:30:00 AM,1.28
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:15:00 AM,1.27
Confluence,"fChl, water, in situ, ug/l",7/23/2024 4:00:00 AM,1.16
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:45:00 AM,1.13
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:30:00 AM,1.15
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:15:00 AM,1.11
Confluence,"fChl, water, in situ, ug/l",7/23/2024 3:00:00 AM,1.12
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:45:00 AM,1.21
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:30:00 AM,1.11
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:15:00 AM,1.035
Confluence,"fChl, water, in situ, ug/l",7/23/2024 2:00:00 AM,0.91
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:45:00 AM,0.965
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:30:00 AM,0.99
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:15:00 AM,0.845
Confluence,"fChl, water, in situ, ug/l",7/23/2024 1:00:00 AM,0.84
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:45:00 AM,0.93
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:30:00 AM,0.94
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:15:00 AM,0.935
Confluence,"fChl, water, in situ, ug/l",7/23/2024 12:00:00 AM,0.925
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:45:00 PM,0.94
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:30:00 PM,0.915
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:15:00 PM,1.045
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:00:00 PM,0.97
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:45:00 PM,1.015
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:30:00 PM,0.97
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:15:00 PM,1.01
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:00:00 PM,1.035
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:45:00 PM,1.06
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:30:00 PM,1.09
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:15:00 PM,1.08
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:00:00 PM,1.07
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:45:00 PM,1.09
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:30:00 PM,1.01
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:15:00 PM,1.075
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:00:00 PM,1.04
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:45:00 PM,1.03
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:30:00 PM,0.965
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:15:00 PM,1.005
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:00:00 PM,0.985
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:45:00 PM,0.96
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:30:00 PM,1.115
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:15:00 PM,1.035
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:00:00 PM,1.1
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:45:00 PM,1.18
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:30:00 PM,1.01
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:15:00 PM,1.075
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:00:00 PM,1.14
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:45:00 PM,1.18
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:30:00 PM,1.12
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:15:00 PM,1.09
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:00:00 PM,1.085
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:45:00 PM,1.16
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:30:00 PM,1.105
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:15:00 PM,0.93
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:00:00 PM,1
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:45:00 PM,1.07
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:30:00 PM,1.005
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:15:00 PM,1.06
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:00:00 PM,1.09
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:45:00 PM,1.065
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:30:00 PM,1.14
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:15:00 PM,1.065
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:00:00 PM,1.19
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:45:00 PM,1.04
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:30:00 PM,1.01
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:15:00 PM,0.94
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:00:00 PM,0.97
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:45:00 AM,1.03
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:30:00 AM,1.04
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:15:00 AM,1.035
Confluence,"fChl, water, in situ, ug/l",7/22/2024 11:00:00 AM,0.405
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:45:00 AM,0.89
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:15:00 AM,0.97
Confluence,"fChl, water, in situ, ug/l",7/22/2024 10:00:00 AM,0.48
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:45:00 AM,1
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:30:00 AM,1.04
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:15:00 AM,1.175
Confluence,"fChl, water, in situ, ug/l",7/22/2024 9:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:45:00 AM,1.05
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:30:00 AM,1.03
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:15:00 AM,0.95
Confluence,"fChl, water, in situ, ug/l",7/22/2024 8:00:00 AM,1.08
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 7:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 6:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 5:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 4:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 3:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 2:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 1:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/22/2024 12:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 11:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 10:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 9:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 8:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 7:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 6:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 5:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 4:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 3:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 2:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 1:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/21/2024 12:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 9:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 9:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 9:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 9:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 8:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 8:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 8:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 8:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 7:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 7:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 7:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 7:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 6:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 6:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 6:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 6:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 5:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 5:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 5:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 5:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 4:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 4:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 4:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 4:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 3:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 3:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 3:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 3:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 2:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 2:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 2:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 2:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 1:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 1:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 1:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 1:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 12:45:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 12:30:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 12:15:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 12:00:00 PM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 11:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:45:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:30:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:15:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 10:00:00 AM,0
Confluence,"fChl, water, in situ, ug/l",7/20/2024 9:45:00 AM,0
